station,horizon,persistence,actual_onset,predicted_onset,onset_error_hours,peak_error_hours,duration_error_hours,recovery_error_hours
Alipur Delhi DPCC,1,2,2023-01-01 05:00:00,2023-01-01 06:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-01-01 20:00:00,2023-01-01 21:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,2,2023-01-05 14:00:00,2023-01-05 14:00:00,,3.0,,1.0
Alipur Delhi DPCC,1,2,2023-01-05 20:00:00,2023-01-05 21:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,2,2023-01-09 13:00:00,2023-01-09 13:00:00,,2.0,,1.0
Alipur Delhi DPCC,1,2,2023-01-09 20:00:00,2023-01-09 21:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-01-09 23:00:00,2023-01-10 00:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-01-10 12:00:00,2023-01-10 13:00:00,1.0,2.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-01-11 13:00:00,2023-01-11 14:00:00,1.0,2.0,,
Alipur Delhi DPCC,1,2,2023-01-16 06:00:00,2023-01-16 06:00:00,,1.0,,0.0
Alipur Delhi DPCC,1,2,2023-01-16 21:00:00,2023-01-16 21:00:00,0.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,2,2023-01-17 08:00:00,2023-01-17 09:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-01-17 22:00:00,2023-01-17 22:00:00,0.0,1.0,,
Alipur Delhi DPCC,1,2,2023-01-24 04:00:00,2023-01-24 04:00:00,,1.0,,1.0
Alipur Delhi DPCC,1,2,2023-01-28 21:00:00,2023-01-28 21:00:00,0.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,2,2023-01-29 19:00:00,2023-01-29 20:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-02-03 22:00:00,2023-02-03 22:00:00,0.0,1.0,6.0,6.0
Alipur Delhi DPCC,1,2,2023-02-04 20:00:00,2023-02-04 21:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-02-05 08:00:00,2023-02-05 09:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-02-05 22:00:00,2023-02-05 23:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-02-06 20:00:00,2023-02-06 21:00:00,1.0,0.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-02-08 22:00:00,2023-02-08 23:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-02-22 02:00:00,2023-02-22 02:00:00,,0.0,,1.0
Alipur Delhi DPCC,1,2,2023-02-22 12:00:00,2023-02-22 14:00:00,2.0,1.0,2.0,0.0
Alipur Delhi DPCC,1,2,2023-02-22 21:00:00,2023-02-22 22:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,2,2023-03-11 07:00:00,2023-03-11 07:00:00,,0.0,,0.0
Alipur Delhi DPCC,1,2,2023-03-11 23:00:00,2023-03-12 01:00:00,2.0,1.0,,
Alipur Delhi DPCC,1,2,2023-03-16 07:00:00,2023-03-16 07:00:00,,3.0,,2.0
Alipur Delhi DPCC,1,2,2023-03-23 02:00:00,2023-03-23 03:00:00,1.0,2.0,4.0,3.0
Alipur Delhi DPCC,1,2,2023-03-23 09:00:00,2023-03-23 10:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-03-23 23:00:00,2023-03-24 00:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-03-24 03:00:00,2023-03-24 04:00:00,1.0,5.0,5.0,4.0
Alipur Delhi DPCC,1,2,2023-03-28 09:00:00,2023-03-28 10:00:00,1.0,0.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-03-29 06:00:00,2023-03-29 07:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-03-30 06:00:00,2023-03-30 07:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-04-03 06:00:00,2023-04-03 08:00:00,2.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,2,2023-04-09 01:00:00,2023-04-09 06:00:00,5.0,1.0,6.0,1.0
Alipur Delhi DPCC,1,2,2023-04-10 01:00:00,2023-04-10 06:00:00,5.0,1.0,5.0,0.0
Alipur Delhi DPCC,1,2,2023-04-10 22:00:00,2023-04-10 22:00:00,0.0,1.0,0.0,0.0
Alipur Delhi DPCC,1,2,2023-04-11 21:00:00,2023-04-11 22:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-04-13 01:00:00,2023-04-13 02:00:00,1.0,1.0,2.0,1.0
Alipur Delhi DPCC,1,2,2023-04-25 21:00:00,2023-04-25 22:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-04-26 01:00:00,2023-04-26 05:00:00,4.0,2.0,7.0,3.0
Alipur Delhi DPCC,1,2,2023-04-26 21:00:00,2023-04-26 22:00:00,1.0,12.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-05-05 23:00:00,2023-05-06 01:00:00,2.0,1.0,2.0,0.0
Alipur Delhi DPCC,1,2,2023-05-07 03:00:00,2023-05-07 08:00:00,5.0,0.0,5.0,0.0
Alipur Delhi DPCC,1,2,2023-05-16 00:00:00,2023-05-16 01:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-05-16 07:00:00,2023-05-16 08:00:00,1.0,15.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-05-17 01:00:00,2023-05-17 02:00:00,1.0,3.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-05-17 06:00:00,2023-05-17 07:00:00,1.0,0.0,,
Alipur Delhi DPCC,1,2,2023-10-06 23:00:00,2023-10-07 01:00:00,2.0,1.0,2.0,0.0
Alipur Delhi DPCC,1,2,2023-10-08 03:00:00,2023-10-08 04:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-10-08 23:00:00,2023-10-09 02:00:00,3.0,1.0,3.0,0.0
Alipur Delhi DPCC,1,2,2023-10-20 01:00:00,2023-10-20 04:00:00,3.0,1.0,4.0,1.0
Alipur Delhi DPCC,1,2,2023-10-21 03:00:00,2023-10-21 04:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,2,2023-10-25 01:00:00,2023-10-25 03:00:00,,1.0,,0.0
Alipur Delhi DPCC,1,2,2023-10-25 20:00:00,2023-10-25 21:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-10-26 21:00:00,2023-10-27 03:00:00,6.0,9.0,10.0,4.0
Alipur Delhi DPCC,1,2,2023-10-27 21:00:00,2023-10-27 22:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,2,2023-10-28 21:00:00,2023-10-28 21:00:00,0.0,1.0,,
Alipur Delhi DPCC,1,2,2023-11-01 20:00:00,2023-11-01 21:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,2,2023-11-05 22:00:00,2023-11-05 22:00:00,,12.0,,1.0
Alipur Delhi DPCC,1,2,2023-11-06 21:00:00,2023-11-06 22:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,2,2023-11-07 08:00:00,2023-11-07 09:00:00,1.0,2.0,,
Alipur Delhi DPCC,1,2,2023-11-12 21:00:00,2023-11-13 16:00:00,19.0,21.0,19.0,0.0
Alipur Delhi DPCC,1,2,2023-11-14 17:00:00,2023-11-14 18:00:00,1.0,1.0,0.0,1.0
