horizon,feature,importance
1,aqi,0.5990144610404968
1,aqi_lag_1,0.003322180127725005
1,aqi_lag_2,0.0018959208391606808
1,aqi_lag_3,0.001139774452894926
1,aqi_lag_6,0.0010198736563324928
1,aqi_lag_12,0.0019421945326030254
1,aqi_lag_24,0.0011198894353583455
1,aqi_lag_48,0.0008952723001129925
1,aqi_lag_72,0.0009598395554348826
1,hour_sin,0.0033240169286727905
1,hour_cos,0.004844771698117256
1,weekday_sin,0.0009738554363138974
1,weekday_cos,0.0009435793035663664
1,month_sin,0.0016250379849225283
1,month_cos,0.002370097441598773
1,weekend,0.0007701197173446417
1,temperature_2m,0.0024382758419960737
1,relative_humidity_2m,0.002571894321590662
1,wind_speed_10m,0.0015588684473186731
1,pressure_msl,0.0014399676583707333
1,precipitation,0.0016146376729011536
1,wind_sin,0.001288723899051547
1,wind_cos,0.0011280077742412686
1,aqi_mean_3,0.2172306776046753
1,aqi_max_3,0.003639855422079563
1,aqi_min_3,0.01271626353263855
1,aqi_std_3,0.0014376945327967405
1,aqi_trend_3,0.006003858987241983
1,exceedance_count_3,0.0007442056084983051
1,aqi_mean_6,0.0030131880193948746
1,aqi_max_6,0.0015823561698198318
1,aqi_min_6,0.003634174820035696
1,aqi_std_6,0.0012170945992693305
1,aqi_trend_6,0.0015241780783981085
1,exceedance_count_6,0.000992132117971778
1,aqi_mean_12,0.0021784112323075533
1,aqi_max_12,0.0018625786760821939
1,aqi_min_12,0.0009953255066648126
1,aqi_std_12,0.0015152684645727277
1,aqi_trend_12,0.0013782531023025513
1,exceedance_count_12,0.005344450939446688
1,aqi_mean_24,0.007131480611860752
1,aqi_max_24,0.0018421418499201536
1,aqi_min_24,0.001977500505745411
1,aqi_std_24,0.0011442333925515413
1,aqi_trend_24,0.003938278183341026
1,exceedance_count_24,0.0046484339982271194
1,aqi_mean_48,0.0037022754549980164
1,aqi_max_48,0.0007539387443102896
1,aqi_min_48,0.0009227899136021733
1,aqi_std_48,0.001035165973007679
1,aqi_trend_48,0.0021122160833328962
1,exceedance_count_48,0.003384185256436467
1,aqi_mean_72,0.0023894489277154207
1,aqi_max_72,0.0010553732281550765
1,aqi_min_72,0.0012216472532600164
1,aqi_std_72,0.0011046776780858636
1,aqi_trend_72,0.0016620127717033029
1,exceedance_count_72,0.002545440336689353
1,temperature_2m_lag_1,0.002797720255330205
1,temperature_2m_lag_6,0.0012668909039348364
1,temperature_2m_lag_24,0.0030379726085811853
1,temperature_2m_mean_24,0.0014668431831523776
1,relative_humidity_2m_lag_1,0.0018169173272326589
1,relative_humidity_2m_lag_6,0.0025963091757148504
1,relative_humidity_2m_lag_24,0.001216566888615489
1,relative_humidity_2m_mean_24,0.0011992583749815822
1,wind_speed_10m_lag_1,0.0028421760071069
1,wind_speed_10m_lag_6,0.001032517058774829
1,wind_speed_10m_lag_24,0.0009434923413209617
1,wind_speed_10m_mean_24,0.0012814932269975543
1,pressure_msl_lag_1,0.0010811405954882503
1,pressure_msl_lag_6,0.0013113112654536963
1,pressure_msl_lag_24,0.0013132082531228662
1,pressure_msl_mean_24,0.0012894368264824152
1,precipitation_lag_1,0.0013279914855957031
1,precipitation_lag_6,0.000983021454885602
1,precipitation_lag_24,0.0010088084964081645
1,precipitation_mean_24,0.002352083334699273
1,station_Alipur Delhi DPCC,0.0
1,station_Anand Vihar Delhi DPCC,0.0007677212124690413
1,station_Ashok Vihar Delhi DPCC,0.0
1,station_Bawana Delhi DPCC,0.0006199773633852601
1,station_CRRI Mathura Road Delhi IMD,0.00022231831098906696
1,station_DTU Delhi CPCB,0.0008322671637870371
1,station_Dr. Karni Singh Shooting Range Delhi DPCC,0.0
1,station_IHBAS Dilshad Garden Delhi CPCB,0.001043458585627377
1,station_ITO Delhi CPCB,0.0007643642020411789
1,station_Jahangirpuri Delhi DPCC,0.0007470707641914487
1,station_Jawaharlal Nehru Stadium Delhi DPCC,0.0
1,station_Major Dhyan Chand National Stadium Delhi DPCC,0.00040593190351501107
1,station_Mandir Marg Delhi DPCC,0.0010449212277308106
1,station_Mundka Delhi DPCC,0.001411441364325583
1,station_NSIT Dwarka Delhi CPCB,0.0009054899564944208
1,station_Najafgarh Delhi DPCC,0.0006749872700311244
1,station_Narela Delhi DPCC,0.0
1,station_Nehru Nagar Delhi DPCC,0.001219016034156084
1,station_Okhla Phase-2 Delhi DPCC,0.0
1,station_Patparganj Delhi DPCC,0.0009643170633353293
1,station_Punjabi Bagh Delhi DPCC,0.0
1,station_Pusa Delhi DPCC,0.0018772712210193276
1,station_R K Puram Delhi DPCC,0.0
1,station_Rohini Delhi DPCC,0.001622560666874051
1,station_Shadipur Delhi CPCB,0.0011482903501018882
1,station_Sirifort Delhi CPCB,0.0009305120329372585
1,station_Sonia Vihar Delhi DPCC,0.0007354711415246129
1,station_Sri Aurobindo Marg Delhi DPCC,0.0008400448132306337
1,station_Vivek Vihar Delhi DPCC,0.000638993049506098
1,station_Wazirpur Delhi DPCC,0.0006358316168189049
6,aqi,0.01706654392182827
6,aqi_lag_1,0.0015525661874562502
6,aqi_lag_2,0.001060886075720191
6,aqi_lag_3,0.0010233247885480523
6,aqi_lag_6,0.0010583865223452449
6,aqi_lag_12,0.0011796881444752216
6,aqi_lag_24,0.0018890004139393568
6,aqi_lag_48,0.0010898093460127711
6,aqi_lag_72,0.0010012565180659294
6,hour_sin,0.010774991475045681
6,hour_cos,0.016870686784386635
6,weekday_sin,0.0017132224747911096
6,weekday_cos,0.001458817278034985
6,month_sin,0.0055826203897595406
6,month_cos,0.01035480946302414
6,weekend,0.0025101942010223866
6,temperature_2m,0.0028694330248981714
6,relative_humidity_2m,0.0030239922925829887
6,wind_speed_10m,0.008681314066052437
6,pressure_msl,0.0018938605207949877
6,precipitation,0.003169082570821047
6,wind_sin,0.0022492059506475925
6,wind_cos,0.001983529655262828
6,aqi_mean_3,0.003403991460800171
6,aqi_max_3,0.0012660633074119687
6,aqi_min_3,0.006084308493882418
6,aqi_std_3,0.001142916502431035
6,aqi_trend_3,0.0016959469066932797
6,exceedance_count_3,0.001195377204567194
6,aqi_mean_6,0.0012733229668810964
6,aqi_max_6,0.0009971499675884843
6,aqi_min_6,0.001109503791667521
6,aqi_std_6,0.0008366720285266638
6,aqi_trend_6,0.0021559703163802624
6,exceedance_count_6,0.001948295976035297
6,aqi_mean_12,0.003305590245872736
6,aqi_max_12,0.003993846010416746
6,aqi_min_12,0.002332486445084214
6,aqi_std_12,0.002896377816796303
6,aqi_trend_12,0.005258780904114246
6,exceedance_count_12,0.004092158749699593
6,aqi_mean_24,0.43900418281555176
6,aqi_max_24,0.002288260729983449
6,aqi_min_24,0.0035873965825885534
6,aqi_std_24,0.0016522319056093693
6,aqi_trend_24,0.006025305017828941
6,exceedance_count_24,0.204691082239151
6,aqi_mean_48,0.03469547629356384
6,aqi_max_48,0.0013573665637522936
6,aqi_min_48,0.0013868095120415092
6,aqi_std_48,0.0015564023051410913
6,aqi_trend_48,0.0015821678098291159
6,exceedance_count_48,0.0014121351996436715
6,aqi_mean_72,0.04180709645152092
6,aqi_max_72,0.002501743845641613
6,aqi_min_72,0.0018564073834568262
6,aqi_std_72,0.0017720517935231328
6,aqi_trend_72,0.0015729807782918215
6,exceedance_count_72,0.004006587900221348
6,temperature_2m_lag_1,0.0018620066111907363
6,temperature_2m_lag_6,0.002331934869289398
6,temperature_2m_lag_24,0.010068918578326702
6,temperature_2m_mean_24,0.0032161639537662268
6,relative_humidity_2m_lag_1,0.0030166595242917538
6,relative_humidity_2m_lag_6,0.0059476387687027454
6,relative_humidity_2m_lag_24,0.001796013442799449
6,relative_humidity_2m_mean_24,0.0023067607544362545
6,wind_speed_10m_lag_1,0.00230784947052598
6,wind_speed_10m_lag_6,0.0016628490993753076
6,wind_speed_10m_lag_24,0.0017904414562508464
6,wind_speed_10m_mean_24,0.0018754032207652926
6,pressure_msl_lag_1,0.0021340735256671906
6,pressure_msl_lag_6,0.0037669134326279163
6,pressure_msl_lag_24,0.0018866214668378234
6,pressure_msl_mean_24,0.002934403019025922
6,precipitation_lag_1,0.0017793829319998622
6,precipitation_lag_6,0.002503907773643732
6,precipitation_lag_24,0.0010722335427999496
6,precipitation_mean_24,0.013414356857538223
6,station_Alipur Delhi DPCC,0.0
6,station_Anand Vihar Delhi DPCC,0.0015466107288375497
6,station_Ashok Vihar Delhi DPCC,0.0
6,station_Bawana Delhi DPCC,0.0012477460550144315
6,station_CRRI Mathura Road Delhi IMD,0.001600142102688551
6,station_DTU Delhi CPCB,0.0016900855116546154
6,station_Dr. Karni Singh Shooting Range Delhi DPCC,0.0009397786343470216
6,station_IHBAS Dilshad Garden Delhi CPCB,0.001541289035230875
6,station_ITO Delhi CPCB,0.0011273716809228063
6,station_Jahangirpuri Delhi DPCC,0.0018254205351695418
6,station_Jawaharlal Nehru Stadium Delhi DPCC,0.0
6,station_Major Dhyan Chand National Stadium Delhi DPCC,0.0008216655696742237
6,station_Mandir Marg Delhi DPCC,0.002684566657990217
6,station_Mundka Delhi DPCC,0.0015422486467286944
6,station_NSIT Dwarka Delhi CPCB,0.0016653897473588586
6,station_Najafgarh Delhi DPCC,0.0013282366562634706
6,station_Narela Delhi DPCC,0.0
