horizon,model,feature_group,split,station,n,mae,rmse,r2,interval_coverage
1,persistence,A_history,validation,ALL,34304,34.75565531716418,55.102295790640646,0.7427195207907435,
1,seasonal_naive,A_history,validation,ALL,34304,75.3348880597015,102.57344360971422,0.10846721095560552,
1,xgboost,A_history,validation,ALL,34304,34.747495171905896,51.65168481087583,0.7739333842444516,
1,xgboost,B_history_time,validation,ALL,34304,33.186340447848856,49.72245522672502,0.7905055223801076,
1,xgboost,C_history_weather,validation,ALL,34304,34.28607594327473,50.91224558438963,0.7803597374190586,
1,xgboost,D_history_time_weather,validation,ALL,34304,33.01459331287822,49.36755102806976,0.7934854687049151,
1,xgboost,E_full,validation,ALL,34304,32.635435754905885,48.63425857057988,0.7995749284158515,
1,xgboost_tuned,E_full,validation,ALL,34304,32.162058240608935,48.15668134686847,0.803491857982787,
1,random_forest,E_full,validation,ALL,34304,32.53152280756914,49.01442550835924,0.7964292944312212,
1,persistence,A_history,test,ALL,104083,26.891154175033385,47.22132912436895,0.8678419846554002,
1,seasonal_naive,A_history,test,ALL,104083,63.219113592037125,92.17246411458693,0.4964767945895968,
1,xgboost,A_history,test,ALL,104083,27.132637235637578,44.22462875917008,0.8840834394839197,
1,xgboost,B_history_time,test,ALL,104083,26.24376939774091,42.960688151220126,0.8906145511917312,
1,xgboost,C_history_weather,test,ALL,104083,26.58048484938916,43.47030426180026,0.8880040148529377,
1,xgboost,D_history_time_weather,test,ALL,104083,26.107185546032625,42.683722630225816,0.8920204103940251,
1,xgboost,E_full,test,ALL,104083,25.675916299841663,42.098158216201455,0.8949627636818817,
1,xgboost_tuned,E_full,test,ALL,104083,25.41714388620292,41.86674325220465,0.896114376036449,
1,random_forest,E_full,test,ALL,104083,25.66069774110338,42.334579468574645,0.8937796826834541,
1,xgboost_tuned,E_full,test_selected,Alipur Delhi DPCC,3424,24.9601352465487,43.248154212952585,0.8898225779799599,0.8954439252336449
1,xgboost_tuned,E_full,test_selected,Anand Vihar Delhi DPCC,2893,34.92940576291603,52.739847120266376,0.8348970757268449,0.7946768060836502
1,xgboost_tuned,E_full,test_selected,Ashok Vihar Delhi DPCC,2509,22.970854644805797,38.727236806250765,0.9088454153486226,0.9015544041450777
1,xgboost_tuned,E_full,test_selected,Bawana Delhi DPCC,3502,28.02917914714628,43.48294949535683,0.8985540361870894,0.8580810965162764
1,xgboost_tuned,E_full,test_selected,CRRI Mathura Road Delhi IMD,1832,25.93416357456857,40.91239976045726,0.8677333926239055,0.8842794759825328
1,xgboost_tuned,E_full,test_selected,DTU Delhi CPCB,5185,24.97412450637744,40.05308523835818,0.8794973623523907,0.8852459016393442
1,xgboost_tuned,E_full,test_selected,Dr. Karni Singh Shooting Range Delhi DPCC,3196,21.27122138528263,34.386078832278386,0.9271713318849282,0.9224030037546934
1,xgboost_tuned,E_full,test_selected,IHBAS Dilshad Garden Delhi CPCB,4029,24.17554506636577,38.14890438906473,0.8402557414613516,0.8803673368081409
1,xgboost_tuned,E_full,test_selected,ITO Delhi CPCB,4524,21.177093564041098,36.348034449183864,0.9236808052106155,0.9144562334217506
1,xgboost_tuned,E_full,test_selected,Jahangirpuri Delhi DPCC,2547,30.179817992750692,47.300400514424545,0.8834023815298561,0.8378484491558696
1,xgboost_tuned,E_full,test_selected,Jawaharlal Nehru Stadium Delhi DPCC,2220,18.513573671890807,29.776186934195874,0.9515356219334249,0.9418918918918919
1,xgboost_tuned,E_full,test_selected,Major Dhyan Chand National Stadium Delhi DPCC,3686,19.26423205594556,30.799951782661527,0.9368398921184092,0.933532284319045
1,xgboost_tuned,E_full,test_selected,Mandir Marg Delhi DPCC,2922,26.64471326471599,43.66785721484431,0.8776424860587502,0.8713210130047913
1,xgboost_tuned,E_full,test_selected,Mundka Delhi DPCC,2029,32.68911028730864,49.66882468139811,0.8819424912265269,0.8206012814194185
1,xgboost_tuned,E_full,test_selected,NSIT Dwarka Delhi CPCB,4761,24.87798862821839,44.94993212022333,0.8680340346700447,0.8916194076874606
1,xgboost_tuned,E_full,test_selected,Najafgarh Delhi DPCC,3672,22.64625382838945,38.00454626116878,0.9052422880456424,0.8946078431372549
1,xgboost_tuned,E_full,test_selected,Narela Delhi DPCC,3640,25.599988575820085,39.98684287275131,0.9044394963192056,0.8824175824175824
