horizon,candidate,fold_year,training_n,parameters,n,mae,rmse,r2
1,0,2020,57214,"{""n_estimators"": 180, ""max_depth"": 4, ""learning_rate"": 0.06, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0, ""reg_alpha"": 0, ""reg_lambda"": 5}",25548,25.12541998113958,40.572562437767274,0.9007845401227506
1,0,2021,82765,"{""n_estimators"": 180, ""max_depth"": 4, ""learning_rate"": 0.06, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0, ""reg_alpha"": 0, ""reg_lambda"": 5}",27435,26.24110542500369,43.446080645449754,0.8948154216154486
1,1,2020,57214,"{""n_estimators"": 250, ""max_depth"": 6, ""learning_rate"": 0.04, ""min_child_weight"": 10, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""gamma"": 0.1, ""reg_alpha"": 0.1, ""reg_lambda"": 10}",25548,24.832658314790752,40.31817003541682,0.9020248133807117
1,1,2021,82765,"{""n_estimators"": 250, ""max_depth"": 6, ""learning_rate"": 0.04, ""min_child_weight"": 10, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""gamma"": 0.1, ""reg_alpha"": 0.1, ""reg_lambda"": 10}",27435,26.02286722542311,43.21236851869928,0.8959440293508638
1,2,2020,57214,"{""n_estimators"": 140, ""max_depth"": 3, ""learning_rate"": 0.1, ""min_child_weight"": 3, ""subsample"": 0.7, ""colsample_bytree"": 0.75, ""gamma"": 0.5, ""reg_alpha"": 1, ""reg_lambda"": 3}",25548,25.30762266440815,40.80515545417896,0.899643721366763
1,2,2021,82765,"{""n_estimators"": 140, ""max_depth"": 3, ""learning_rate"": 0.1, ""min_child_weight"": 3, ""subsample"": 0.7, ""colsample_bytree"": 0.75, ""gamma"": 0.5, ""reg_alpha"": 1, ""reg_lambda"": 3}",27435,26.407930753390517,43.645826192760794,0.8938460154697075
6,0,2020,56249,"{""n_estimators"": 180, ""max_depth"": 4, ""learning_rate"": 0.06, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0, ""reg_alpha"": 0, ""reg_lambda"": 5}",25207,46.091177686542295,62.72564428457365,0.76220089679243
6,0,2021,81483,"{""n_estimators"": 180, ""max_depth"": 4, ""learning_rate"": 0.06, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""gamma"": 0, ""reg_alpha"": 0, ""reg_lambda"": 5}",26879,48.90749210269817,68.51812086900674,0.7391808967052615
6,1,2020,56249,"{""n_estimators"": 250, ""max_depth"": 6, ""learning_rate"": 0.04, ""min_child_weight"": 10, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""gamma"": 0.1, ""reg_alpha"": 0.1, ""reg_lambda"": 10}",25207,45.56903027139388,62.24290208998245,0.7658470585305107
6,1,2021,81483,"{""n_estimators"": 250, ""max_depth"": 6, ""learning_rate"": 0.04, ""min_child_weight"": 10, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""gamma"": 0.1, ""reg_alpha"": 0.1, ""reg_lambda"": 10}",26879,48.178402891080644,67.79421155042759,0.744663007721474
