station,eligible_windows,true_negative,false_positive,false_negative,true_positive,precision,recall,f1
Alipur Delhi DPCC,110,49,1,13,47,0.9791666666666666,0.7833333333333333,0.8703703703703703
Anand Vihar Delhi DPCC,97,28,2,16,51,0.9622641509433962,0.7611940298507462,0.85
Ashok Vihar Delhi DPCC,81,48,1,7,25,0.9615384615384616,0.78125,0.8620689655172413
Bawana Delhi DPCC,115,38,3,16,58,0.9508196721311475,0.7837837837837838,0.8592592592592593
CRRI Mathura Road Delhi IMD,62,29,1,14,18,0.9473684210526315,0.5625,0.7058823529411765
DTU Delhi CPCB,184,119,3,24,38,0.926829268292683,0.6129032258064516,0.7378640776699029
Dr. Karni Singh Shooting Range Delhi DPCC,100,59,2,12,27,0.9310344827586207,0.6923076923076923,0.7941176470588235
IHBAS Dilshad Garden Delhi CPCB,136,90,2,15,29,0.9354838709677419,0.6590909090909091,0.7733333333333333
ITO Delhi CPCB,158,82,3,19,54,0.9473684210526315,0.7397260273972602,0.8307692307692308
Jahangirpuri Delhi DPCC,79,35,1,14,29,0.9666666666666667,0.6744186046511628,0.7945205479452054
Jawaharlal Nehru Stadium Delhi DPCC,70,33,0,5,32,1.0,0.8648648648648649,0.927536231884058
Major Dhyan Chand National Stadium Delhi DPCC,125,72,2,11,40,0.9523809523809523,0.7843137254901961,0.8602150537634409
Mandir Marg Delhi DPCC,85,50,0,8,27,1.0,0.7714285714285715,0.8709677419354839
Mundka Delhi DPCC,62,25,0,4,33,1.0,0.8918918918918919,0.9428571428571428
NSIT Dwarka Delhi CPCB,174,68,1,15,90,0.989010989010989,0.8571428571428571,0.9183673469387755
Najafgarh Delhi DPCC,120,71,1,13,35,0.9722222222222222,0.7291666666666666,0.8333333333333334
Narela Delhi DPCC,121,61,1,16,43,0.9772727272727273,0.7288135593220338,0.8349514563106796
Nehru Nagar Delhi DPCC,133,60,1,14,58,0.9830508474576272,0.8055555555555556,0.8854961832061069
Okhla Phase-2 Delhi DPCC,34,20,0,6,8,1.0,0.5714285714285714,0.7272727272727273
Patparganj Delhi DPCC,147,80,2,20,45,0.9574468085106383,0.6923076923076923,0.8035714285714286
Punjabi Bagh Delhi DPCC,110,52,3,19,36,0.9230769230769231,0.6545454545454545,0.7659574468085106
Pusa Delhi DPCC,104,57,1,12,34,0.9714285714285714,0.7391304347826086,0.8395061728395061
R K Puram Delhi DPCC,136,71,1,20,44,0.9777777777777777,0.6875,0.8073394495412844
Rohini Delhi DPCC,117,40,3,17,57,0.95,0.7702702702702703,0.8507462686567164
Shadipur Delhi CPCB,271,105,5,37,124,0.9612403100775194,0.7701863354037267,0.8551724137931035
Sirifort Delhi CPCB,74,33,2,6,33,0.9428571428571428,0.8461538461538461,0.8918918918918919
Sonia Vihar Delhi DPCC,132,58,2,20,52,0.9629629629629629,0.7222222222222222,0.8253968253968254
Sri Aurobindo Marg Delhi DPCC,132,76,2,9,45,0.9574468085106383,0.8333333333333334,0.8910891089108911
Vivek Vihar Delhi DPCC,132,53,4,16,59,0.9365079365079365,0.7866666666666666,0.855072463768116
Wazirpur Delhi DPCC,78,28,2,11,37,0.9487179487179487,0.7708333333333334,0.8505747126436781
