pollutant,horizon,split,n,mae,rmse,r2
PM2.5 (µg/m³),1,validation_2024,216350,21.832445920359728,37.5482505503777,0.8647276704130592
PM2.5 (µg/m³),1,test_2025,217546,20.56087763850758,35.208099164846665,0.8661084662725924
PM2.5 (µg/m³),6,validation_2024,214827,34.75916215789503,57.77983351320369,0.6858966042308778
PM2.5 (µg/m³),6,test_2025,215841,31.805892609810996,51.62630603017065,0.7150775889198594
PM2.5 (µg/m³),12,validation_2024,213880,35.83804357667798,59.92475201694271,0.6628354183423119
PM2.5 (µg/m³),12,test_2025,214848,32.74780805699043,53.34093895473156,0.6957356294215551
PM2.5 (µg/m³),24,validation_2024,212969,37.09856846785863,61.87580482545449,0.6424728344702768
PM2.5 (µg/m³),24,test_2025,213971,34.182993297037605,55.450009833303554,0.6741469887576268
PM10 (µg/m³),1,validation_2024,218686,41.63743056329464,66.15150250711287,0.7894301379775328
PM10 (µg/m³),1,test_2025,216991,39.16748120035624,62.07465967452608,0.8020673246861265
PM10 (µg/m³),6,validation_2024,217076,62.81667855419575,92.45832815572706,0.6009781907473716
PM10 (µg/m³),6,test_2025,215196,57.965885278475085,84.3144349217908,0.6400894244671678
PM10 (µg/m³),12,validation_2024,216328,64.50971076249675,95.16277614031625,0.5824175681557893
PM10 (µg/m³),12,test_2025,214114,58.949538669616956,86.31401385796816,0.6263053325129004
PM10 (µg/m³),24,validation_2024,215407,66.0420371868398,96.53171469482908,0.5629834408851995
PM10 (µg/m³),24,test_2025,213238,61.989092844634435,89.79588905839202,0.5964085325910273
NO2 (µg/m³),1,validation_2024,233913,9.3091733972626,15.921460785088255,0.7958210950878194
NO2 (µg/m³),1,test_2025,239060,8.659045618531476,13.926958566219954,0.8088418097970922
NO2 (µg/m³),6,validation_2024,232687,13.832351050595785,22.213474397369747,0.605010838576158
NO2 (µg/m³),6,test_2025,237898,12.684069165547648,19.244617632202125,0.6353813756599811
NO2 (µg/m³),12,validation_2024,232203,12.819078361336958,21.623267803265446,0.6334452955888716
NO2 (µg/m³),12,test_2025,237131,11.555433602532672,18.472159534877626,0.6657527101237584
NO2 (µg/m³),24,validation_2024,231472,12.948660869493354,21.721221757146363,0.623798865965977
NO2 (µg/m³),24,test_2025,236262,11.731520676693766,18.97736764872869,0.6480630234569449
Ozone (µg/m³),1,validation_2024,215569,9.1600669090574,15.863114815833859,0.8161303255024049
Ozone (µg/m³),1,test_2025,228257,8.883091826065243,15.697121575728683,0.8421711414453154
Ozone (µg/m³),6,validation_2024,213283,14.784925743968902,23.979051891417885,0.6047442623660906
Ozone (µg/m³),6,test_2025,226544,15.036440640966426,25.404752032657534,0.5948053228639414
Ozone (µg/m³),12,validation_2024,213580,12.063946962379617,20.20217347283643,0.7149761579567152
Ozone (µg/m³),12,test_2025,225937,11.96978554078466,20.523359965894176,0.7319355461900409
Ozone (µg/m³),24,validation_2024,213036,11.896811988520462,19.809314183907947,0.7153635298030794
Ozone (µg/m³),24,test_2025,225253,11.836877746129868,20.177258776132852,0.7407989292136877
SO2 (µg/m³),1,validation_2024,215241,3.228821086136125,6.2301862506666215,0.7436940781492152
SO2 (µg/m³),1,test_2025,211455,3.086171543135947,5.922841969903888,0.8147189733139302
SO2 (µg/m³),6,validation_2024,213804,4.486640612148018,8.00584674540147,0.5775666841731507
SO2 (µg/m³),6,test_2025,209886,4.519704668330774,7.915905018485357,0.6675282285470988
SO2 (µg/m³),12,validation_2024,213787,4.227548657060725,7.747223243286683,0.6036633807635129
SO2 (µg/m³),12,test_2025,209686,4.3391510994210005,7.839694486103643,0.6758835293134455
SO2 (µg/m³),24,validation_2024,213124,4.187976841603469,7.750517027856647,0.6067383380667322
SO2 (µg/m³),24,test_2025,208871,4.28441024758658,7.907518113560198,0.6716612650354113
CO (mg/m³),1,validation_2024,222984,0.2826883666523526,0.48791921768655777,0.7483633416657578
CO (mg/m³),1,test_2025,227251,0.27527597158592276,0.4921218513170057,0.7741141128042153
CO (mg/m³),6,validation_2024,221477,0.4282315170700047,0.6914643108006726,0.4856146512756462
CO (mg/m³),6,test_2025,225612,0.43132400271292054,0.7219639930660143,0.5080605956679958
CO (mg/m³),12,validation_2024,221851,0.4112877311182581,0.6838037077655318,0.49588089361874055
CO (mg/m³),12,test_2025,225325,0.4208243401987599,0.7175054761594855,0.5139287063113636
CO (mg/m³),24,validation_2024,221436,0.4181516255810063,0.6986265097021012,0.48427862925246123
CO (mg/m³),24,test_2025,224700,0.4293522666207628,0.7319733070511837,0.49785628958632544
Benzene (µg/m³),1,validation_2024,200333,0.6590839699145626,2.1538188769153175,0.6903645302619
Benzene (µg/m³),1,test_2025,213649,0.731272507425147,4.125749922771658,0.39876446776506325
Benzene (µg/m³),6,validation_2024,199126,1.1050649208297523,2.786056042554265,0.44634798735925774
Benzene (µg/m³),6,test_2025,212490,1.1477166044803708,4.662351994628656,0.20403474321950865
Benzene (µg/m³),12,validation_2024,198393,1.0437382699646944,2.642875441695377,0.4834355166257105
Benzene (µg/m³),12,test_2025,211684,1.0950353909511645,4.583081423128503,0.18798549926868402
Benzene (µg/m³),24,validation_2024,197504,1.033601792368795,2.8792179522147805,0.4525228194158518
Benzene (µg/m³),24,test_2025,210775,1.0651984526876068,4.353495776072462,0.2020590391711199
