Date From,Date To,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
01-01-2025 00:15,01-01-2025 00:30,199,339,20.8,32.7,22.6,6.2,1.59,8.8
01-01-2025 00:30,01-01-2025 00:45,199,339,19.9,33.9,22.4,6.5,1.59,8.7
01-01-2025 00:45,01-01-2025 01:00,199,339,20.3,33.0,22.5,5.9,1.55,8.8
01-01-2025 01:00,01-01-2025 01:15,190,339,19.6,31.8,23.3,5.9,1.51,9.1
01-01-2025 01:15,01-01-2025 01:30,190,291,16.3,31.6,23.6,5.7,1.44,
01-01-2025 01:30,01-01-2025 01:45,190,291,13.7,30.8,23.7,5.9,1.41,
01-01-2025 01:45,01-01-2025 02:00,190,291,11.9,30.5,23.7,6.7,1.37,
01-01-2025 02:00,01-01-2025 02:15,168,291,11.5,29.8,24.1,8.4,,9.3
01-01-2025 02:15,01-01-2025 02:30,168,259,,,,,,8.6
01-01-2025 02:30,01-01-2025 02:45,168,259,,,,,,8.9
