From Date,To Date,PM2.5,PM10,NO,NO2,NH3,SO2,CO,OZONE
01-01-2025 00:15,01-01-2025 00:30,251.0,374.0,75.4,62.9,70.5,13.7,2.69,2.2
01-01-2025 00:30,01-01-2025 00:45,251.0,374.0,107.5,51.0,76.6,13.2,2.85,2.1
01-01-2025 00:45,01-01-2025 01:00,251.0,374.0,123.2,62.6,77.4,12.7,2.9,1.5
01-01-2025 01:00,01-01-2025 01:15,269.0,437.0,118.1,61.9,76.0,12.4,2.86,2.4
01-01-2025 01:15,01-01-2025 01:30,269.0,437.0,104.4,66.7,72.2,12.9,2.75,
01-01-2025 01:30,01-01-2025 01:45,269.0,437.0,98.0,61.5,72.8,12.6,2.73,
01-01-2025 01:45,01-01-2025 02:00,269.0,437.0,87.9,56.3,76.3,11.5,2.6,3.7
01-01-2025 02:00,01-01-2025 02:15,238.0,326.0,66.8,62.6,85.6,12.7,2.48,5.9
01-01-2025 02:15,01-01-2025 02:30,238.0,326.0,61.5,65.4,83.3,14.5,2.43,3.7
01-01-2025 02:30,01-01-2025 02:45,238.0,326.0,58.1,62.8,79.4,15.3,2.36,4.0
01-01-2025 02:45,01-01-2025 03:00,238.0,326.0,53.2,62.1,77.7,15.5,2.23,2.7
01-01-2025 03:00,01-01-2025 03:15,227.0,324.0,54.5,67.9,72.5,16.5,2.11,3.5
01-01-2025 03:15,01-01-2025 03:30,227.0,324.0,43.9,55.4,71.4,16.0,2.01,1.8
01-01-2025 03:30,01-01-2025 03:45,227.0,324.0,43.3,61.6,66.9,16.4,1.98,2.1
01-01-2025 03:45,01-01-2025 04:00,227.0,324.0,34.6,60.1,69.3,16.9,1.92,2.6
01-01-2025 04:00,01-01-2025 04:15,286.0,381.0,31.8,56.1,69.5,16.3,1.86,2.2
01-01-2025 04:15,01-01-2025 04:30,286.0,381.0,31.0,51.9,66.5,15.3,1.84,1.9
01-01-2025 04:30,01-01-2025 04:45,286.0,381.0,29.8,50.7,63.8,15.9,1.79,2.8
01-01-2025 04:45,01-01-2025 05:00,286.0,381.0,35.0,46.7,64.7,15.5,1.74,3.3
01-01-2025 05:00,01-01-2025 05:15,224.0,302.0,39.9,54.5,62.7,14.4,1.67,3.6
01-01-2025 05:15,01-01-2025 05:30,224.0,302.0,56.7,57.2,53.8,14.0,1.65,2.5
01-01-2025 05:30,01-01-2025 05:45,224.0,302.0,52.3,52.0,67.5,13.3,1.72,2.5
01-01-2025 05:45,01-01-2025 06:00,224.0,302.0,65.7,60.9,68.9,14.2,1.76,3.8
01-01-2025 06:00,01-01-2025 06:15,177.0,276.0,71.7,61.4,76.3,14.2,1.82,1.6
01-01-2025 06:15,01-01-2025 06:30,177.0,276.0,107.9,67.5,68.9,14.0,1.84,3.1
01-01-2025 06:30,01-01-2025 06:45,177.0,276.0,62.1,61.6,74.0,14.2,1.81,3.9
01-01-2025 06:45,01-01-2025 07:00,177.0,276.0,94.7,71.5,72.1,14.7,1.82,1.7
01-01-2025 07:00,01-01-2025 07:15,195.0,287.0,71.0,61.3,69.8,14.2,1.79,1.2
01-01-2025 07:15,01-01-2025 07:30,195.0,287.0,92.0,49.7,62.6,13.4,1.84,1.8
01-01-2025 07:30,01-01-2025 07:45,195.0,287.0,101.0,63.9,72.5,12.7,1.86,1.8
01-01-2025 07:45,01-01-2025 08:00,195.0,287.0,98.5,67.4,75.8,10.9,1.83,2.1
01-01-2025 08:00,01-01-2025 08:15,188.0,326.0,103.2,70.7,75.3,10.5,1.86,2.9
01-01-2025 08:15,01-01-2025 08:30,188.0,326.0,111.6,58.1,70.9,9.5,1.84,4.2
01-01-2025 08:30,01-01-2025 08:45,188.0,326.0,102.0,72.2,75.2,10.1,1.91,2.0
01-01-2025 08:45,01-01-2025 09:00,188.0,326.0,105.0,76.5,78.8,9.9,1.92,3.6
01-01-2025 09:00,01-01-2025 09:15,176.0,339.0,97.5,74.3,72.1,9.2,1.9,3.6
01-01-2025 09:15,01-01-2025 09:30,176.0,339.0,92.8,70.6,69.4,9.2,1.93,3.3
01-01-2025 09:30,01-01-2025 09:45,176.0,339.0,81.7,62.5,74.8,9.5,1.92,3.9
01-01-2025 09:45,01-01-2025 10:00,176.0,339.0,86.1,72.1,67.3,9.8,1.9,4.1
01-01-2025 10:00,01-01-2025 10:15,176.0,299.0,72.3,61.9,73.7,9.0,1.86,4.4
01-01-2025 10:15,01-01-2025 10:30,176.0,299.0,105.2,55.7,67.8,9.1,1.85,4.5
01-01-2025 10:30,01-01-2025 10:45,176.0,299.0,82.3,67.4,67.1,9.3,1.85,4.8
01-01-2025 10:45,01-01-2025 11:00,176.0,299.0,93.8,68.1,73.9,9.2,1.88,3.6
01-01-2025 11:00,01-01-2025 11:15,184.0,279.0,79.6,64.4,72.0,8.9,1.85,4.7
01-01-2025 11:15,01-01-2025 11:30,184.0,279.0,83.3,64.3,64.9,9.2,1.86,6.1
01-01-2025 11:30,01-01-2025 11:45,184.0,279.0,67.4,72.7,71.4,9.5,1.87,5.8
01-01-2025 11:45,01-01-2025 12:00,184.0,279.0,66.4,72.8,75.3,10.1,1.85,6.2
01-01-2025 12:00,01-01-2025 12:15,173.0,237.0,58.8,66.9,91.2,10.1,1.88,7.6
01-01-2025 12:15,01-01-2025 12:30,173.0,237.0,65.6,71.2,78.2,10.3,1.92,7.1
01-01-2025 12:30,01-01-2025 12:45,173.0,237.0,63.8,76.6,76.1,10.0,1.98,7.7
01-01-2025 12:45,01-01-2025 13:00,173.0,237.0,61.3,70.6,75.4,11.5,1.96,8.1
01-01-2025 13:00,01-01-2025 13:15,186.0,289.0,57.6,76.8,76.0,13.0,1.95,8.6
01-01-2025 13:15,01-01-2025 13:30,186.0,289.0,50.8,77.7,67.3,12.6,1.92,8.5
01-01-2025 13:30,01-01-2025 13:45,186.0,289.0,60.5,82.2,67.7,11.8,1.97,8.7
01-01-2025 13:45,01-01-2025 14:00,186.0,289.0,83.5,87.7,65.9,12.0,1.98,8.4
01-01-2025 14:00,01-01-2025 14:15,184.0,305.0,52.7,78.6,71.5,11.7,1.98,9.9
01-01-2025 14:15,01-01-2025 14:30,184.0,305.0,69.8,87.7,61.9,12.1,1.99,9.3
01-01-2025 14:30,01-01-2025 14:45,184.0,305.0,67.9,89.2,63.8,12.5,2.09,10.7
01-01-2025 14:45,01-01-2025 15:00,184.0,305.0,76.2,83.3,62.0,12.4,2.06,10.9
01-01-2025 15:00,01-01-2025 15:15,192.0,326.0,69.2,78.5,67.9,12.1,2.06,10.0
01-01-2025 15:15,01-01-2025 15:30,192.0,326.0,82.8,86.7,66.8,12.6,2.06,8.3
01-01-2025 15:30,01-01-2025 15:45,192.0,326.0,68.7,83.6,69.2,12.4,2.01,8.4
01-01-2025 15:45,01-01-2025 16:00,192.0,326.0,84.3,79.7,71.4,12.1,1.98,8.9
01-01-2025 16:00,01-01-2025 16:15,184.0,346.0,77.5,94.5,73.4,12.2,2.01,7.7
01-01-2025 16:15,01-01-2025 16:30,184.0,346.0,77.4,78.0,69.1,11.6,1.99,7.6
01-01-2025 16:30,01-01-2025 16:45,184.0,346.0,102.9,96.5,65.4,11.7,1.99,6.0
01-01-2025 16:45,01-01-2025 17:00,184.0,346.0,103.7,87.9,71.8,12.3,2.03,2.4
01-01-2025 17:00,01-01-2025 17:15,195.0,392.0,88.4,89.4,69.6,12.6,2.04,0.9
01-01-2025 17:15,01-01-2025 17:30,195.0,392.0,84.8,74.2,72.4,12.2,2.04,3.0
01-01-2025 17:30,01-01-2025 17:45,195.0,392.0,78.1,81.8,80.9,11.2,2.06,3.4
01-01-2025 17:45,01-01-2025 18:00,195.0,392.0,120.4,65.7,83.5,10.9,2.13,2.6
01-01-2025 18:00,01-01-2025 18:15,219.0,382.0,82.4,74.4,86.4,10.8,2.13,3.1
01-01-2025 18:15,01-01-2025 18:30,219.0,382.0,74.4,80.8,78.9,10.2,2.2,3.3
01-01-2025 18:30,01-01-2025 18:45,219.0,382.0,84.1,88.7,78.0,9.9,2.26,3.4
01-01-2025 18:45,01-01-2025 19:00,219.0,382.0,83.3,81.4,88.6,10.8,2.29,2.2
01-01-2025 19:00,01-01-2025 19:15,250.0,379.0,76.9,79.6,89.6,11.3,2.31,2.7
01-01-2025 19:15,01-01-2025 19:30,250.0,379.0,66.6,79.4,84.2,10.6,2.32,2.0
01-01-2025 19:30,01-01-2025 19:45,250.0,379.0,70.5,78.7,83.7,9.8,2.36,1.6
01-01-2025 19:45,01-01-2025 20:00,250.0,379.0,74.5,79.7,84.6,9.8,2.37,1.4
01-01-2025 20:00,01-01-2025 20:15,213.0,313.0,89.1,70.0,82.4,10.8,2.39,1.9
01-01-2025 20:15,01-01-2025 20:30,,313.0,106.4,75.9,75.9,10.7,2.44,2.7
01-01-2025 20:30,01-01-2025 20:45,213.0,313.0,96.4,81.4,83.2,11.7,2.47,2.8
01-01-2025 20:45,01-01-2025 21:00,213.0,313.0,88.6,74.7,82.9,10.7,2.43,3.5
01-01-2025 21:00,01-01-2025 21:15,208.0,364.0,76.5,75.1,86.0,9.8,2.46,3.5
01-01-2025 21:15,01-01-2025 21:30,208.0,364.0,81.0,76.9,78.0,9.8,2.52,1.8
01-01-2025 21:30,01-01-2025 21:45,208.0,364.0,76.4,74.1,83.5,9.8,2.53,2.7
01-01-2025 21:45,01-01-2025 22:00,208.0,364.0,73.3,73.2,87.5,10.1,2.51,3.3
01-01-2025 22:00,01-01-2025 22:15,216.0,318.0,81.5,66.7,89.0,11.3,2.5,4.4
01-01-2025 22:15,01-01-2025 22:30,216.0,318.0,59.5,73.6,84.4,12.5,2.56,3.1
01-01-2025 22:30,01-01-2025 22:45,216.0,318.0,62.7,68.4,81.1,14.2,2.59,3.8
01-01-2025 22:45,01-01-2025 23:00,216.0,318.0,61.6,66.4,83.1,14.7,2.6,2.7
01-01-2025 23:00,01-01-2025 23:15,192.0,267.0,85.0,60.0,79.6,13.8,2.62,2.4
01-01-2025 23:15,01-01-2025 23:30,192.0,267.0,69.2,65.6,80.5,14.7,2.53,3.1
01-01-2025 23:30,01-01-2025 23:45,192.0,267.0,61.2,70.6,75.7,16.0,2.46,3.5
01-01-2025 23:45,02-01-2025 00:00,192.0,267.0,62.6,70.5,78.6,15.1,2.36,2.4
02-01-2025 00:00,02-01-2025 00:15,180.0,278.0,43.8,65.3,80.0,,2.28,4.6
02-01-2025 00:15,02-01-2025 00:30,180.0,278.0,45.3,64.0,72.0,13.4,2.19,3.6
02-01-2025 00:30,02-01-2025 00:45,180.0,278.0,38.4,61.8,72.8,10.1,2.11,4.2
02-01-2025 00:45,02-01-2025 01:00,180.0,278.0,32.3,64.1,76.9,9.5,2.07,3.6
02-01-2025 01:00,02-01-2025 01:15,171.0,244.0,34.9,54.2,79.6,9.7,2.03,5.4
02-01-2025 01:15,02-01-2025 01:30,171.0,244.0,28.7,62.0,77.9,9.2,2.04,
02-01-2025 01:30,02-01-2025 01:45,171.0,244.0,27.8,66.0,76.9,9.5,2.02,
02-01-2025 01:45,02-01-2025 02:00,171.0,244.0,28.2,61.7,79.5,8.6,2.01,4.8
02-01-2025 02:00,02-01-2025 02:15,178.0,238.0,26.5,60.2,79.9,7.9,2.0,4.9
02-01-2025 02:15,02-01-2025 02:30,178.0,238.0,25.4,58.2,77.6,7.3,1.99,5.6
02-01-2025 02:30,02-01-2025 02:45,178.0,238.0,23.4,59.7,78.6,7.5,1.96,4.9
02-01-2025 02:45,02-01-2025 03:00,178.0,238.0,26.9,50.6,83.1,7.5,1.96,4.0
02-01-2025 03:00,02-01-2025 03:15,175.0,239.0,25.9,45.2,79.0,7.9,1.9,1.9
02-01-2025 03:15,02-01-2025 03:30,175.0,239.0,26.4,49.5,76.8,8.2,1.9,2.9
02-01-2025 03:30,02-01-2025 03:45,175.0,239.0,30.2,52.0,84.4,7.7,1.9,2.3
02-01-2025 03:45,02-01-2025 04:00,175.0,239.0,32.2,54.5,86.5,6.7,1.9,3.8
02-01-2025 04:00,02-01-2025 04:15,192.0,278.0,39.6,47.8,87.6,5.9,1.89,4.0
02-01-2025 04:15,02-01-2025 04:30,192.0,278.0,33.9,59.2,86.6,5.6,1.86,4.5
02-01-2025 04:30,02-01-2025 04:45,192.0,278.0,37.6,61.7,85.5,5.0,1.86,4.2
02-01-2025 04:45,02-01-2025 05:00,192.0,278.0,43.8,52.9,88.4,4.4,1.86,4.9
02-01-2025 05:00,02-01-2025 05:15,194.0,254.0,47.5,58.4,86.4,5.2,1.86,4.5
02-01-2025 05:15,02-01-2025 05:30,194.0,254.0,60.4,58.7,82.6,5.3,1.85,3.5
02-01-2025 05:30,02-01-2025 05:45,194.0,254.0,74.3,52.9,96.3,5.4,1.88,3.4
02-01-2025 05:45,02-01-2025 06:00,,254.0,81.5,58.3,87.0,5.7,1.93,3.5
02-01-2025 06:00,02-01-2025 06:15,196.0,282.0,87.6,65.9,82.2,5.6,1.99,2.8
02-01-2025 06:15,02-01-2025 06:30,196.0,282.0,92.3,66.2,80.8,5.8,2.0,2.4
02-01-2025 06:30,02-01-2025 06:45,196.0,282.0,112.1,58.5,81.9,5.6,2.02,2.4
02-01-2025 06:45,02-01-2025 07:00,196.0,282.0,105.6,70.3,89.5,6.4,2.04,2.8
02-01-2025 07:00,02-01-2025 07:15,207.0,306.0,98.2,61.9,85.2,5.5,2.08,3.8
02-01-2025 07:15,02-01-2025 07:30,207.0,306.0,136.1,63.5,69.5,5.5,2.06,2.8
02-01-2025 07:30,02-01-2025 07:45,207.0,306.0,100.2,64.8,87.3,5.4,2.09,2.6
02-01-2025 07:45,02-01-2025 08:00,207.0,306.0,91.7,68.8,85.2,5.6,2.09,3.2
02-01-2025 08:00,02-01-2025 08:15,160.0,272.0,113.9,66.7,99.4,6.9,2.14,3.6
02-01-2025 08:15,02-01-2025 08:30,160.0,272.0,129.0,60.0,91.6,7.8,2.23,3.1
02-01-2025 08:30,02-01-2025 08:45,160.0,272.0,94.6,66.4,88.9,8.5,2.19,3.7
02-01-2025 08:45,02-01-2025 09:00,160.0,272.0,89.8,61.0,87.4,8.6,2.23,3.3
02-01-2025 09:00,02-01-2025 09:15,159.0,265.0,100.7,62.8,81.3,9.3,2.26,3.6
02-01-2025 09:15,02-01-2025 09:30,159.0,265.0,82.8,63.6,75.8,8.9,2.34,3.2
02-01-2025 09:30,02-01-2025 09:45,159.0,265.0,74.5,63.9,79.9,9.0,2.29,3.1
02-01-2025 09:45,02-01-2025 10:00,159.0,265.0,80.6,54.0,82.0,8.6,2.28,2.1
02-01-2025 10:00,02-01-2025 10:15,197.0,324.0,45.8,54.5,82.6,9.6,2.23,2.6
02-01-2025 10:15,02-01-2025 10:30,197.0,324.0,67.6,58.0,72.2,10.0,2.32,2.8
02-01-2025 10:30,02-01-2025 10:45,197.0,324.0,57.9,64.5,79.7,10.1,2.3,4.4
02-01-2025 10:45,02-01-2025 11:00,197.0,324.0,62.6,63.7,80.6,9.9,2.28,3.9
02-01-2025 11:00,02-01-2025 11:15,230.0,335.0,73.5,67.4,80.0,9.3,2.31,4.3
02-01-2025 11:15,02-01-2025 11:30,230.0,335.0,59.1,66.1,74.3,9.0,2.29,4.3
02-01-2025 11:30,02-01-2025 11:45,230.0,335.0,64.6,71.7,77.9,9.3,2.33,5.0
02-01-2025 11:45,02-01-2025 12:00,230.0,335.0,72.8,68.2,80.0,9.9,2.35,4.5
02-01-2025 12:00,02-01-2025 12:15,255.0,367.0,57.5,72.3,78.7,9.9,2.37,6.4
02-01-2025 12:15,02-01-2025 12:30,255.0,367.0,66.3,79.0,72.2,9.1,2.42,6.0
02-01-2025 12:30,02-01-2025 12:45,255.0,367.0,67.6,72.6,79.2,10.1,2.42,6.9
02-01-2025 12:45,02-01-2025 13:00,255.0,367.0,76.3,74.1,74.2,9.6,2.4,6.8
02-01-2025 13:00,02-01-2025 13:15,243.0,404.0,73.3,83.2,81.1,9.2,2.4,4.2
02-01-2025 13:15,02-01-2025 13:30,243.0,404.0,82.0,76.8,82.5,8.9,2.4,4.7
02-01-2025 13:30,02-01-2025 13:45,243.0,404.0,65.4,78.2,90.5,7.9,2.42,6.2
02-01-2025 13:45,02-01-2025 14:00,243.0,404.0,84.1,97.5,90.6,7.1,2.52,7.4
02-01-2025 14:00,02-01-2025 14:15,284.0,455.0,97.6,93.8,103.9,7.5,2.57,4.3
02-01-2025 14:15,02-01-2025 14:30,284.0,455.0,70.8,96.2,87.8,6.6,2.55,8.4
02-01-2025 14:30,02-01-2025 14:45,284.0,455.0,81.3,86.2,91.9,7.2,2.56,6.2
02-01-2025 14:45,02-01-2025 15:00,284.0,455.0,107.1,96.9,91.6,7.0,2.58,7.0
02-01-2025 15:00,02-01-2025 15:15,269.0,427.0,76.1,99.2,91.2,6.5,2.58,7.2
02-01-2025 15:15,02-01-2025 15:30,269.0,427.0,93.3,88.5,82.8,6.4,2.59,5.8
02-01-2025 15:30,02-01-2025 15:45,269.0,427.0,85.4,98.1,90.4,6.5,2.65,6.5
02-01-2025 15:45,02-01-2025 16:00,269.0,427.0,99.1,105.6,88.5,6.9,2.64,5.1
02-01-2025 16:00,02-01-2025 16:15,233.0,415.0,85.6,98.4,94.3,7.1,3.02,5.3
02-01-2025 16:15,02-01-2025 16:30,233.0,415.0,42.3,77.8,84.9,6.6,2.82,6.9
